code_id,scene_id,original_scene_id,trip_id,substance,block,rater,coder_name,item_id,item_path,level_1,level_2,level_3,is_scene_level,scope_normalised,trip_level_multiplicity,excerpt,scene_rater_status,scene_verdict,scene_verdict_flavour,scene_canonical_desc,scene_span_start,scene_span_end
C000001,Brugmansia_01_S01_AB,,Brugmansia_01,brugmansia,01-10,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,both,CONVERGENT,,Sky full of moving white strands forming into a ball of light; clear vs cloudy sky,1775,2210
C000002,Brugmansia_01_S01_AB,,Brugmansia_01,brugmansia,01-10,B,Noah,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,both,CONVERGENT,,Sky full of moving white strands forming into a ball of light; clear vs cloudy sky,1775,2210
C000003,Brugmansia_01_S01_AB,,Brugmansia_01,brugmansia,01-10,B,Noah,type_of_visual_alteration_full_blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,True,False,1,,both,CONVERGENT,,Sky full of moving white strands forming into a ball of light; clear vs cloudy sky,1775,2210
C000004,Brugmansia_01_S02_B_RCL,,Brugmansia_01,brugmansia,01-10,B,Noah,nonsensory_hallucination_other,Nonsensory hallucination | Other,Nonsensory hallucination,Other,,True,False,1,,only_B,AMBIGUITY,2b,Living in a 3-second dream-delay; cannot live in the present,2364,2550
C000005,Brugmansia_01_S03_AB,,Brugmansia_01,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,In bathroom mirror sees a bald ~6' man who talks about life and death,2981,3300
C000006,Brugmansia_01_S03_AB,,Brugmansia_01,brugmansia,01-10,A,Brendan,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),True,False,1,,both,CONVERGENT,,In bathroom mirror sees a bald ~6' man who talks about life and death,2981,3300
C000007,Brugmansia_01_S03_AB,,Brugmansia_01,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,both,CONVERGENT,,In bathroom mirror sees a bald ~6' man who talks about life and death,2981,3300
C000008,,Brugmansia_01_S03_AB,Brugmansia_01,brugmansia,01-10,A,Brendan,insight_religious,Insight | Religious,Insight,Religious,,False,True,1,,,,,,,
C000009,Brugmansia_01_S03_AB,,Brugmansia_01,brugmansia,01-10,B,Noah,type_of_visual_alteration_full_blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,True,False,1,,both,CONVERGENT,,In bathroom mirror sees a bald ~6' man who talks about life and death,2981,3300
C000010,Brugmansia_01_S04_AB,,Brugmansia_01,brugmansia,01-10,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,both,CONVERGENT,,"Blurriness and colors changing, not mixing",4754,4830
C000011,Brugmansia_01_S04_AB,,Brugmansia_01,brugmansia,01-10,B,Noah,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,True,False,1,,both,CONVERGENT,,"Blurriness and colors changing, not mixing",4754,4830
C000012,Brugmansia_01_S05_A_RCL,,Brugmansia_01,brugmansia,01-10,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,only_A,AMBIGUITY,2a,"Laws of physics changed, faces changed, unseen rooms mapped to his home",5406,5620
C000013,Brugmansia_01_S06_AB,,Brugmansia_01,brugmansia,01-10,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,both,CONVERGENT,,Person in his room switches between a 12-year-old girl and his mother,6840,7000
C000014,Brugmansia_01_S06_AB,,Brugmansia_01,brugmansia,01-10,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,Person in his room switches between a 12-year-old girl and his mother,6840,7000
C000015,Brugmansia_01_S07_AB,,Brugmansia_01,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,"Couch appears covered in spiders, centipedes, rollypolys and other insects",7832,8100
C000016,Brugmansia_01_S07_AB,,Brugmansia_01,brugmansia,01-10,A,Brendan,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,False,1,,both,CONVERGENT,,"Couch appears covered in spiders, centipedes, rollypolys and other insects",7832,8100
C000017,Brugmansia_01_S07_AB,,Brugmansia_01,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,both,CONVERGENT,,"Couch appears covered in spiders, centipedes, rollypolys and other insects",7832,8100
C000018,Brugmansia_01_S07_AB,,Brugmansia_01,brugmansia,01-10,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,"Couch appears covered in spiders, centipedes, rollypolys and other insects",7832,8100
C000019,Brugmansia_01_S07_AB,,Brugmansia_01,brugmansia,01-10,B,Noah,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,False,1,,both,CONVERGENT,,"Couch appears covered in spiders, centipedes, rollypolys and other insects",7832,8100
C000020,Brugmansia_01_S08_AB,,Brugmansia_01,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,Mini-trips of giant shiny spiders seen only in reflected light,9417,9600
C000021,Brugmansia_01_S08_AB,,Brugmansia_01,brugmansia,01-10,A,Brendan,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,False,1,,both,CONVERGENT,,Mini-trips of giant shiny spiders seen only in reflected light,9417,9600
C000022,Brugmansia_01_S08_AB,,Brugmansia_01,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,both,CONVERGENT,,Mini-trips of giant shiny spiders seen only in reflected light,9417,9600
C000023,Brugmansia_01_S08_AB,,Brugmansia_01,brugmansia,01-10,B,Noah,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,True,False,1,,both,CONVERGENT,,Mini-trips of giant shiny spiders seen only in reflected light,9417,9600
C000024,Brugmansia_01_S08_AB,,Brugmansia_01,brugmansia,01-10,B,Noah,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,False,1,,both,CONVERGENT,,Mini-trips of giant shiny spiders seen only in reflected light,9417,9600
C000025,,,Brugmansia_01,brugmansia,01-10,A,Brendan,emotion_positive_emotion,Emotion | Positive emotion,Emotion,Positive emotion,,False,False,1,I felt a calming rush throughout my body,,,,,,
C000026,,,Brugmansia_01,brugmansia,01-10,A,Brendan,sense_of_reality_delusional,Sense of reality | Delusional,Sense of reality,Delusional,,False,False,1,Everything made sense to me; nurses wouldn't believe me; let me go to my closet,,,,,,
C000027,,,Brugmansia_01,brugmansia,01-10,A,Brendan,sense_of_reality_lucid,Sense of reality | Lucid,Sense of reality,Lucid,,False,False,1,I still saw all the bugs but I could now tell that I was only tripping,,,,,,
C000028,,,Brugmansia_01,brugmansia,01-10,A,Brendan,insight_existential,Insight | Existential,Insight,Existential,,False,False,1,good sleeping habit; anxiety down; view every day as a blessing,,,,,,
C000029,,,Brugmansia_01,brugmansia,01-10,A,Brendan,insight_metaphysical,Insight | Metaphysical,Insight,Metaphysical,,False,False,1,infinite shells for this life; spoken to death and learned from him,,,,,,
C000030,,,Brugmansia_01,brugmansia,01-10,B,Noah,enhanced_mental_imagery,Enhanced mental imagery,Enhanced mental imagery,,,False,False,1,my mind wondered more,,,,,,
C000031,,,Brugmansia_01,brugmansia,01-10,B,Noah,sense_of_reality_delusional,Sense of reality | Delusional,Sense of reality,Delusional,,False,False,1,paranoid; stole wallet unknowingly; own laws of physics / rooms in house,,,,,,
C000032,,,Brugmansia_01,brugmansia,01-10,B,Noah,insight_practical,Insight | Practical,Insight,Practical,,False,False,1,I completely disagree with the doctor about psychedelics,,,,,,
C000033,Brugmansia_02_S01_B_RCL,,Brugmansia_02,brugmansia,01-10,B,Noah,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,only_B,MISS,,Smoked Brugmansia leaves make him see strange colors briefly,490,560
C000034,Brugmansia_02_S02_B_RCL,,Brugmansia_02,brugmansia,01-10,B,Noah,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,True,False,1,,only_B,AMBIGUITY,2b,Feeling of being in the wrong place / dislocation,829,920
C000035,Brugmansia_02_S03_A_RCL,,Brugmansia_02,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,only_A,MISS,,Another friend talking who wasn't really there,2392,2460
C000036,Brugmansia_02_S03_A_RCL,,Brugmansia_02,brugmansia,01-10,A,Brendan,visual_hallucination_human_relatives_acquaintances,"Visual hallucination | Human | Relative(s), acquaintance(s)",Visual hallucination,Human,"Relative(s), acquaintance(s)",True,False,1,,only_A,MISS,,Another friend talking who wasn't really there,2392,2460
C000037,Brugmansia_02_S03_A_RCL,,Brugmansia_02,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,only_A,MISS,,Another friend talking who wasn't really there,2392,2460
C000038,Brugmansia_02_S04_A_RCL,,Brugmansia_02,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,only_A,MISS,,Fake inmate friend in the police car who later vanishes,2669,2980
C000039,Brugmansia_02_S04_A_RCL,,Brugmansia_02,brugmansia,01-10,A,Brendan,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),True,False,1,,only_A,MISS,,Fake inmate friend in the police car who later vanishes,2669,2980
C000040,Brugmansia_02_S04_A_RCL,,Brugmansia_02,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,only_A,MISS,,Fake inmate friend in the police car who later vanishes,2669,2980
C000041,Brugmansia_02_S05_A_RCL,,Brugmansia_02,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,only_A,MISS,,People visiting his jail cell who weren't there,4587,4680
C000042,Brugmansia_02_S05_A_RCL,,Brugmansia_02,brugmansia,01-10,A,Brendan,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),True,False,1,,only_A,MISS,,People visiting his jail cell who weren't there,4587,4680
C000043,Brugmansia_02_S05_A_RCL,,Brugmansia_02,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,only_A,MISS,,People visiting his jail cell who weren't there,4587,4680
C000044,Brugmansia_02_S06_B_RCL,,Brugmansia_02,brugmansia,01-10,B,Noah,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,only_B,AMBIGUITY,2b,Post-trip inability to parse letters into words,4817,5050
C000045,,,Brugmansia_02,brugmansia,01-10,A,Brendan,sense_of_strangeness_and_enigma,Sense of strangeness and enigma,Sense of strangeness and enigma,,,False,False,1,"Suddenly, I felt strange. Like everything was supposed to be normal, but I was somehow in the wrong place",,,,,,
C000046,,,Brugmansia_02,brugmansia,01-10,B,Noah,sense_of_reality_delusional,Sense of reality | Delusional,Sense of reality,Delusional,,False,False,1,eating a long blade of grass...smoking a cigarette that wasn't there,,,,,,
C000047,Brugmansia_03_S01_AB,,Brugmansia_03,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,"On the drive home, sees snakes everywhere on the road",749,900
C000048,Brugmansia_03_S01_AB,,Brugmansia_03,brugmansia,01-10,A,Brendan,visual_hallucination_animal_other,Visual hallucination | Animal | Other,Visual hallucination,Animal,Other,True,False,1,,both,CONVERGENT,,"On the drive home, sees snakes everywhere on the road",749,900
C000049,Brugmansia_03_S01_AB,,Brugmansia_03,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,both,CONVERGENT,,"On the drive home, sees snakes everywhere on the road",749,900
C000050,Brugmansia_03_S01_AB,,Brugmansia_03,brugmansia,01-10,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,"On the drive home, sees snakes everywhere on the road",749,900
C000051,Brugmansia_03_S02_AB,,Brugmansia_03,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,Believes he is wearing a shirt and scrapes his chest pulling at skin as if it were fabric,967,1250
C000052,Brugmansia_03_S02_AB,,Brugmansia_03,brugmansia,01-10,A,Brendan,visual_hallucination_artefact_tool_cloth,"Visual hallucination | Artefact | Tool, cloth",Visual hallucination,Artefact,"Tool, cloth",True,False,1,,both,CONVERGENT,,Believes he is wearing a shirt and scrapes his chest pulling at skin as if it were fabric,967,1250
C000053,Brugmansia_03_S02_AB,,Brugmansia_03,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,both,CONVERGENT,,Believes he is wearing a shirt and scrapes his chest pulling at skin as if it were fabric,967,1250
C000054,Brugmansia_03_S02_AB,,Brugmansia_03,brugmansia,01-10,B,Noah,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,False,1,,both,CONVERGENT,,Believes he is wearing a shirt and scrapes his chest pulling at skin as if it were fabric,967,1250
C000055,Brugmansia_03_S03_AB,,Brugmansia_03,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,Fighting someone imagined in his room; asks roommate for help,1408,1500
C000056,Brugmansia_03_S03_AB,,Brugmansia_03,brugmansia,01-10,A,Brendan,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),True,False,1,,both,CONVERGENT,,Fighting someone imagined in his room; asks roommate for help,1408,1500
C000057,Brugmansia_03_S03_AB,,Brugmansia_03,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,both,CONVERGENT,,Fighting someone imagined in his room; asks roommate for help,1408,1500
C000058,Brugmansia_03_S03_AB,,Brugmansia_03,brugmansia,01-10,B,Noah,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),True,False,1,,both,CONVERGENT,,Fighting someone imagined in his room; asks roommate for help,1408,1500
C000059,,,Brugmansia_03,brugmansia,01-10,A,Brendan,amnesia,Amnesia,Amnesia,,,False,False,1,amnesia started to slip up on me; I would forget where I had just come from,,,,,,
C000060,,,Brugmansia_03,brugmansia,01-10,B,Noah,amnesia,Amnesia,Amnesia,,,False,False,1,every 15-20 min to go to the bathroom; would forget where I had just come from,,,,,,
C000061,,,Brugmansia_03,brugmansia,01-10,B,Noah,sense_of_reality_delusional,Sense of reality | Delusional,Sense of reality,Delusional,,False,False,1,"took a silver cake mix bowl, stuffed an Alcopolco blanket in it, started to eat it with fork and knife",,,,,,
C000062,Brugmansia_04_S01_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,True,False,1,,both,CONVERGENT,,Multicolored face emerges from shadow in corner of room,1650,1980
C000063,Brugmansia_04_S01_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),True,False,1,,both,CONVERGENT,,Multicolored face emerges from shadow in corner of room,1650,1980
C000064,Brugmansia_04_S01_AB,,Brugmansia_04,brugmansia,01-10,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,False,1,,both,CONVERGENT,,Multicolored face emerges from shadow in corner of room,1650,1980
C000065,Brugmansia_04_S01_AB,,Brugmansia_04,brugmansia,01-10,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,False,1,,both,CONVERGENT,,Multicolored face emerges from shadow in corner of room,1650,1980
