trip_id,substance,rater,coder_name,n_scenes_individuated,n_scene_codes,n_trip_codes,codes_per_scene,modal_status_uses,incrusted_uses,detached_uses,illusion_uses,immersive_uses
Brugmansia_01,brugmansia,A,Brendan,7,13,6,1.86,3,3,0,4,0
Brugmansia_01,brugmansia,B,Noah,7,10,3,1.43,0,2,1,1,0
Brugmansia_02,brugmansia,A,Brendan,3,9,1,3.0,3,3,0,0,0
Brugmansia_02,brugmansia,B,Noah,3,3,1,1.0,1,0,0,2,0
Brugmansia_03,brugmansia,A,Brendan,3,9,1,3.0,3,3,0,0,0
Brugmansia_03,brugmansia,B,Noah,3,3,2,1.0,0,1,0,1,0
Brugmansia_04,brugmansia,A,Brendan,14,27,3,1.93,8,5,1,6,0
Brugmansia_04,brugmansia,B,Noah,12,13,1,1.08,0,5,1,1,0
Brugmansia_05,brugmansia,A,Brendan,1,1,2,1.0,0,0,0,0,0
Brugmansia_05,brugmansia,B,Noah,0,0,1,0.0,0,0,0,0,0
Brugmansia_06,brugmansia,A,Brendan,4,9,3,2.25,2,2,0,2,0
Brugmansia_06,brugmansia,B,Noah,4,4,2,1.0,0,1,0,2,0
Brugmansia_07,brugmansia,A,Brendan,3,5,1,1.67,1,1,0,2,0
Brugmansia_07,brugmansia,B,Noah,2,4,0,2.0,0,1,0,1,0
Brugmansia_08,brugmansia,A,Brendan,8,23,3,2.88,8,6,1,0,0
Brugmansia_08,brugmansia,B,Noah,7,8,3,1.14,0,3,0,0,0
Brugmansia_09,brugmansia,A,Brendan,5,11,1,2.2,3,3,0,2,0
Brugmansia_09,brugmansia,B,Noah,4,5,1,1.25,0,1,0,1,0
Brugmansia_10,brugmansia,A,Brendan,4,12,2,3.0,4,4,0,0,0
Brugmansia_10,brugmansia,B,Noah,3,6,1,2.0,0,0,0,0,0
Brugmansia_11,brugmansia,A,Alessandra,4,15,7,3.75,2,0,0,0,0
Brugmansia_11,brugmansia,B,Alessio,4,10,7,2.5,3,0,0,0,0
Brugmansia_12,brugmansia,A,Alessandra,9,24,4,2.67,7,4,3,0,0
Brugmansia_12,brugmansia,B,Alessio,10,28,5,2.8,10,3,3,1,0
