scene_id,trip_id,substance,block,coder_A,coder_B,rater_status,rater_A_individuated,rater_B_individuated,stage1_driver,parent_scene_id,stage1_verdict,verdict_flavour,verdict_source,canonical_span_start,canonical_span_end,scene_word_count,scene_rank_in_trip,canonical_desc,rater_A_excerpt,rater_B_excerpt,narrative_passage,stage1_rationale,verdict_rationale,n_scenes_in_trip,n_convergent_in_trip,n_solo_A_in_trip,n_solo_B_in_trip,n_scenes_rater_A_in_trip,n_scenes_rater_B_in_trip,n_miss_in_trip,n_granularity_in_trip,n_ambiguity_2a_in_trip,n_ambiguity_2b_in_trip,trip_word_count
Brugmansia_01_S01_AB,Brugmansia_01,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,1775,2210,435,1,Sky full of moving white strands forming into a ball of light; clear vs cloudy sky,A01,"B01,B02",". The sky appeared to have small white strands (like strands of cloth that come out of your clothing) and they were all moving together in the sky to form into a ball of light somewhat like the sun but as a soft white - blue. I remember the day having no moon or sun out and a clear blue sky but I was told it was a very cloudy day. TRIPPING. 

The next thing that I remember is laying down in the stands for a high school football gam",,Both raters individuated this passage.,8,6,1,1,7,7,0,0,1,1,2164
Brugmansia_01_S02_B_RCL,Brugmansia_01,brugmansia,01-10,Brendan,Noah,only_B,False,True,RCL,,AMBIGUITY,2b,manual,2364,2550,186,2,Living in a 3-second dream-delay; cannot live in the present,,B03,". I felt like I was living in a dream where I could remember what I had just done 3 seconds ago clearly in my head and I couldn't live in the present. 
I was in an extreme delay of life ",No automatic classification; likely genuine miss by other rater,"Temporal dissociation / dream-like detachment (""living in a dream where I could remember what I had just done 3 seconds ago… couldn't live in the present""). No modality, no object, no concrete perceptual content — phenomenologically real but arguably not a hallucinatory scene in the external-object sense of the other _AB scenes in this trip. Would fit a dissociative / altered-time-perception category the taxonomy lacks. Neither _AB scene here addresses time perception, so the rater criterion is silent on this case.",8,6,1,1,7,7,0,0,1,1,2164
Brugmansia_01_S03_AB,Brugmansia_01,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,2981,3300,319,3,In bathroom mirror sees a bald ~6' man who talks about life and death,A02,B04,y. At one point I had a very visual and hearing trip when I went to the bathroom and saw in the mirror a man 6 to 6'2 bald and I was 5'7 long hair. The man talked to me about life and death and I talked back I listened and found real spiritual guidance from him. I had to leave because someone came into the bathroom ju,,Both raters individuated this passage.,8,6,1,1,7,7,0,0,1,1,2164
Brugmansia_01_S04_AB,Brugmansia_01,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,4754,4830,76,4,"Blurriness and colors changing, not mixing",A03,B05,"I was having more visual trips of blurriness and colors changing, not mixing",,Both raters individuated this passage.,8,6,1,1,7,7,0,0,1,1,2164
Brugmansia_01_S05_A_RCL,Brugmansia_01,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,AMBIGUITY,2a,manual,5406,5620,214,5,"Laws of physics changed, faces changed, unseen rooms mapped to his home",A04,,"Life was the same but made with my own laws of physics and nature, faces had changed, and every room I couldn't see had to be a room in my house at home… if that makes sense to you… 

I had to go sit outside becaus",No automatic classification; likely genuine miss by other rater,"Mixed summary passage (""laws of physics changed, faces had changed, every room I couldn't see had to be a room in my house""). The face-alteration clause matches B's criterion (B individuated S06, an identity-morph scene), but the passage is framed as an ongoing summary of trip-state rather than a discrete perceptual moment, mixed with delusional content (laws of physics, room mapping). Guidelines do not cleanly rule on whether generalised perceptual-state summaries count as a scene or should be trip-level — an edge case needing a clarifying rule.",8,6,1,1,7,7,0,0,1,1,2164
Brugmansia_01_S06_AB,Brugmansia_01,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,6840,7000,160,6,Person in his room switches between a 12-year-old girl and his mother,A05,B06,"Every time I turned my back from this person in my room it would switch between a little 12 year old really annoying girl and my mother. 

This little girl want",,Both raters individuated this passage.,8,6,1,1,7,7,0,0,1,1,2164
Brugmansia_01_S07_AB,Brugmansia_01,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,7832,8100,268,7,"Couch appears covered in spiders, centipedes, rollypolys and other insects",A06,"B07,B08","when I looked at the pattern on the couch I was sleeping on. The couch appeared to have spiders, centipedes, rollypolys, all kinds of insects all over it. I was like 'aw shit! What the hell was I sleeping in last night.' My mom told me that I was just seeing things th",,Both raters individuated this passage.,8,6,1,1,7,7,0,0,1,1,2164
Brugmansia_01_S08_AB,Brugmansia_01,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,9417,9600,183,8,Mini-trips of giant shiny spiders seen only in reflected light,A07,B09,"The rest of the day and night I was having mini trips of giant shiny spiders that you could only see in the reflection of the light. It was truly a crazy experience. 

I feel that mos",,Both raters individuated this passage.,8,6,1,1,7,7,0,0,1,1,2164
Brugmansia_02_S01_B_RCL,Brugmansia_02,brugmansia,01-10,Brendan,Noah,only_B,False,True,RCL,,MISS,,manual,490,560,70,1,Smoked Brugmansia leaves make him see strange colors briefly,,B01,I remember it making me see strange colors for a moment but nothing el,No automatic classification; likely genuine miss by other rater,"Concrete brief visual alteration (""strange colors for a moment""). The pair's criterion elsewhere (Brugmansia_01 S04 ""blurriness and colors changing"") includes ambient colour alterations, even brief ones. A should have individuated by own criterion.",6,0,3,3,3,3,4,0,0,2,948
Brugmansia_02_S02_B_RCL,Brugmansia_02,brugmansia,01-10,Brendan,Noah,only_B,False,True,RCL,,AMBIGUITY,2b,manual,829,920,91,2,Feeling of being in the wrong place / dislocation,,B02,"Like everything was supposed to be normal, but I was somehow in the wrong place. I started ",No automatic classification; likely genuine miss by other rater,"Dislocation feeling (""somehow in the wrong place""). Metacognitive/dissociative state about place, not a perceptual hallucinatory scene. Phenomenologically real but outside the hallucinatory-scene category — would need a dissociative-experience category.",6,0,3,3,3,3,4,0,0,2,948
