column_name,scope,item_id,level_1,level_2,level_3,depth,is_leaf,is_scene_level,is_trip_level
attr__type_of_visual_alteration__illusion,scene,type_of_visual_alteration_illusion,Type of visual alteration,Illusion,,1,True,True,False
attr__type_of_visual_alteration__hallucination_of_an_incrusted_object,scene,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration,Hallucination of an incrusted object,,1,True,True,False
attr__type_of_visual_alteration__hallucination_of_a_detached_object,scene,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration,Hallucination of a detached object,,1,True,True,False
attr__type_of_visual_alteration__full_blown_immersive_hallucination,scene,type_of_visual_alteration_full_blown_immersive_hallucination,Type of visual alteration,Full-blown immersive hallucination,,1,True,True,False
attr__visual_hallucination__geometrical_pattern,scene,visual_hallucination_geometrical_pattern,Visual hallucination,Geometrical pattern,,1,True,True,False
attr__visual_hallucination__human__historical_figure_s,scene,visual_hallucination_human_historical_figures,Visual hallucination,Human,Historical figure(s),2,True,True,False
attr__visual_hallucination__human__celebrity_ies,scene,visual_hallucination_human_celebrityies,Visual hallucination,Human,Celebrity(ies),2,True,True,False
attr__visual_hallucination__human__relative_s_acquaintance_s,scene,visual_hallucination_human_relatives_acquaintances,Visual hallucination,Human,"Relative(s), acquaintance(s)",2,True,True,False
attr__visual_hallucination__human__unknown_person_s,scene,visual_hallucination_human_unknown_persons,Visual hallucination,Human,Unknown person(s),2,True,True,False
attr__visual_hallucination__human__other_s,scene,visual_hallucination_human_others,Visual hallucination,Human,Other(s),2,True,True,False
attr__visual_hallucination__artefact__vehicle,scene,visual_hallucination_artefact_vehicle,Visual hallucination,Artefact,Vehicle,2,True,True,False
attr__visual_hallucination__artefact__city_building_furniture,scene,visual_hallucination_artefact_city_building_furniture,Visual hallucination,Artefact,"City, building, furniture",2,True,True,False
attr__visual_hallucination__artefact__technological_device,scene,visual_hallucination_artefact_technological_device,Visual hallucination,Artefact,Technological device,2,True,True,False
attr__visual_hallucination__artefact__tool_cloth,scene,visual_hallucination_artefact_tool_cloth,Visual hallucination,Artefact,"Tool, cloth",2,True,True,False
attr__visual_hallucination__artefact__other,scene,visual_hallucination_artefact_other,Visual hallucination,Artefact,Other,2,True,True,False
attr__visual_hallucination__animal__mammal,scene,visual_hallucination_animal_mammal,Visual hallucination,Animal,Mammal,2,True,True,False
attr__visual_hallucination__animal__aquatic_animal,scene,visual_hallucination_animal_aquatic_animal,Visual hallucination,Animal,Aquatic animal,2,True,True,False
attr__visual_hallucination__animal__bird,scene,visual_hallucination_animal_bird,Visual hallucination,Animal,Bird,2,True,True,False
attr__visual_hallucination__animal__insect,scene,visual_hallucination_animal_insect,Visual hallucination,Animal,Insect,2,True,True,False
attr__visual_hallucination__animal__other,scene,visual_hallucination_animal_other,Visual hallucination,Animal,Other,2,True,True,False
attr__visual_hallucination__plant__tree_shrub,scene,visual_hallucination_plant_tree_shrub,Visual hallucination,Plant,"Tree, shrub",2,True,True,False
attr__visual_hallucination__plant__flower_grass,scene,visual_hallucination_plant_flower_grass,Visual hallucination,Plant,"Flower, grass",2,True,True,False
attr__visual_hallucination__plant__mushroom_fungus,scene,visual_hallucination_plant_mushroom_fungus,Visual hallucination,Plant,"Mushroom, fungus",2,True,True,False
attr__visual_hallucination__plant__other,scene,visual_hallucination_plant_other,Visual hallucination,Plant,Other,2,True,True,False
attr__visual_hallucination__inorganic_entity__stone_rock,scene,visual_hallucination_inorganic_entity_stone_rock,Visual hallucination,Inorganic entity,"Stone, rock",2,True,True,False
attr__visual_hallucination__inorganic_entity__earth_river_sky_cloud,scene,visual_hallucination_inorganic_entity_earth_river_sky_cloud,Visual hallucination,Inorganic entity,"Earth, river, sky, cloud",2,True,True,False
attr__visual_hallucination__inorganic_entity__other,scene,visual_hallucination_inorganic_entity_other,Visual hallucination,Inorganic entity,Other,2,True,True,False
attr__visual_hallucination__extraordinary_entity__god,scene,visual_hallucination_extraordinary_entity_god,Visual hallucination,Extraordinary entity,God,2,True,True,False
attr__visual_hallucination__extraordinary_entity__spirit,scene,visual_hallucination_extraordinary_entity_spirit,Visual hallucination,Extraordinary entity,Spirit,2,True,True,False
attr__visual_hallucination__extraordinary_entity__chimera,scene,visual_hallucination_extraordinary_entity_chimera,Visual hallucination,Extraordinary entity,Chimera,2,True,True,False
attr__visual_hallucination__extraordinary_entity__alien,scene,visual_hallucination_extraordinary_entity_alien,Visual hallucination,Extraordinary entity,Alien,2,True,True,False
attr__visual_hallucination__extraordinary_entity__other,scene,visual_hallucination_extraordinary_entity_other,Visual hallucination,Extraordinary entity,Other,2,True,True,False
attr__auditory_hallucination__human__celebrity_ies,scene,auditory_hallucination_human_celebrityies,Auditory hallucination,Human,Celebrity(ies),2,True,True,False
attr__auditory_hallucination__human__relative_s_acquaintance_s,scene,auditory_hallucination_human_relatives_acquaintances,Auditory hallucination,Human,"Relative(s), acquaintance(s)",2,True,True,False
attr__auditory_hallucination__human__unknown_person_s,scene,auditory_hallucination_human_unknown_persons,Auditory hallucination,Human,Unknown person(s),2,True,True,False
attr__auditory_hallucination__human__other_s,scene,auditory_hallucination_human_others,Auditory hallucination,Human,Other(s),2,True,True,False
attr__auditory_hallucination__artefact__other,scene,auditory_hallucination_artefact_other,Auditory hallucination,Artefact,Other,2,True,True,False
attr__auditory_hallucination__animal__mammal,scene,auditory_hallucination_animal_mammal,Auditory hallucination,Animal,Mammal,2,True,True,False
attr__auditory_hallucination__animal__insect,scene,auditory_hallucination_animal_insect,Auditory hallucination,Animal,Insect,2,True,True,False
attr__auditory_hallucination__animal__other,scene,auditory_hallucination_animal_other,Auditory hallucination,Animal,Other,2,True,True,False
attr__auditory_hallucination__plant__tree_shrub,scene,auditory_hallucination_plant_tree_shrub,Auditory hallucination,Plant,"Tree, shrub",2,True,True,False
attr__auditory_hallucination__plant__other,scene,auditory_hallucination_plant_other,Auditory hallucination,Plant,Other,2,True,True,False
attr__auditory_hallucination__inorganic_entity__other,scene,auditory_hallucination_inorganic_entity_other,Auditory hallucination,Inorganic entity,Other,2,True,True,False
attr__auditory_hallucination__extraordinary_entity__spirit,scene,auditory_hallucination_extraordinary_entity_spirit,Auditory hallucination,Extraordinary entity,Spirit,2,True,True,False
attr__auditory_hallucination__extraordinary_entity__alien,scene,auditory_hallucination_extraordinary_entity_alien,Auditory hallucination,Extraordinary entity,Alien,2,True,True,False
attr__auditory_hallucination__extraordinary_entity__other,scene,auditory_hallucination_extraordinary_entity_other,Auditory hallucination,Extraordinary entity,Other,2,True,True,False
attr__tactile_hallucination__human,scene,tactile_hallucination_human,Tactile hallucination,Human,,1,True,True,False
attr__tactile_hallucination__artefact,scene,tactile_hallucination_artefact,Tactile hallucination,Artefact,,1,True,True,False
attr__tactile_hallucination__plant,scene,tactile_hallucination_plant,Tactile hallucination,Plant,,1,True,True,False
attr__tactile_hallucination__inorganic_entity,scene,tactile_hallucination_inorganic_entity,Tactile hallucination,Inorganic entity,,1,True,True,False
attr__tactile_hallucination__extraordinary_entity,scene,tactile_hallucination_extraordinary_entity,Tactile hallucination,Extraordinary entity,,1,True,True,False
attr__tactile_hallucination__other,scene,tactile_hallucination_other,Tactile hallucination,Other,,1,True,True,False
attr__olfactory_hallucination__human,scene,olfactory_hallucination_human,Olfactory hallucination,Human,,1,True,True,False
attr__gustatory_hallucination,scene,gustatory_hallucination,Gustatory hallucination,,,0,True,True,False
attr__nonsensory_hallucination__human,scene,nonsensory_hallucination_human,Nonsensory hallucination,Human,,1,True,True,False
attr__nonsensory_hallucination__inorganic_entity,scene,nonsensory_hallucination_inorganic_entity,Nonsensory hallucination,Inorganic entity,,1,True,True,False
attr__nonsensory_hallucination__extraordinary_entity,scene,nonsensory_hallucination_extraordinary_entity,Nonsensory hallucination,Extraordinary entity,,1,True,True,False
attr__nonsensory_hallucination__other,scene,nonsensory_hallucination_other,Nonsensory hallucination,Other,,1,True,True,False
attr__modal_status_of_the_hallucination__possible_and_probable_event,scene,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination,Possible and probable event,,1,True,True,False
attr__modal_status_of_the_hallucination__possible_but_improbable_event,scene,modal_status_of_the_hallucination_possible_but_improbable_event,Modal status of the hallucination,Possible but improbable event,,1,True,True,False
attr__modal_status_of_the_hallucination__impossible_event,scene,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination,Impossible event,,1,True,True,False
attr__dynamics_of_the_hallucination__object_constancy,trip,dynamics_of_the_hallucination_object_constancy,Dynamics of the hallucination,Object constancy,,1,True,False,True
attr__dynamics_of_the_hallucination__no_object_constancy,trip,dynamics_of_the_hallucination_no_object_constancy,Dynamics of the hallucination,No object constancy,,1,True,False,True
attr__sensory_delight__visual__nature,trip,sensory_delight_visual_nature,Sensory delight,Visual,Nature,2,True,False,True
attr__sensory_delight__visual__artefact,trip,sensory_delight_visual_artefact,Sensory delight,Visual,Artefact,2,True,False,True
attr__sensory_delight__visual__other,trip,sensory_delight_visual_other,Sensory delight,Visual,Other,2,True,False,True
attr__sensory_delight__auditory__nature,trip,sensory_delight_auditory_nature,Sensory delight,Auditory,Nature,2,True,False,True
attr__sensory_delight__auditory__music,trip,sensory_delight_auditory_music,Sensory delight,Auditory,Music,2,True,False,True
attr__sensory_delight__auditory__other,trip,sensory_delight_auditory_other,Sensory delight,Auditory,Other,2,True,False,True
attr__sensory_delight__haptic,trip,sensory_delight_haptic,Sensory delight,Haptic,,1,True,False,True
attr__sensory_delight__erotic,trip,sensory_delight_erotic,Sensory delight,Erotic,,1,True,False,True
attr__enhanced_mental_imagery,trip,enhanced_mental_imagery,Enhanced mental imagery,,,0,True,False,True
