trip_id,substance,block,coder_A,coder_B,word_count,n_scenes,attr__amnesia,attr__arousal__abnormally_high,attr__arousal__abnormally_low,attr__domain_specific_violation__biological_projection,attr__domain_specific_violation__psychological_projection,attr__dynamics_of_the_hallucination__no_object_constancy,attr__dynamics_of_the_hallucination__object_constancy,attr__ego_dissolution__bodily_self,attr__ego_dissolution__core_self,attr__ego_dissolution__social_self,attr__emotion__negative_emotion,attr__emotion__positive_emotion,attr__enhanced_mental_imagery,attr__insight__existential,attr__insight__metaphysical,attr__insight__practical,attr__insight__religious,attr__out_of_body_experience,attr__own_body_distortion,attr__sense_of_reality__delusional,attr__sense_of_reality__lucid,attr__sense_of_strangeness_and_enigma,attr__sense_of_surprise_and_unexpectedness,attr__sensory_delight__auditory__music,attr__sensory_delight__auditory__nature,attr__sensory_delight__auditory__other,attr__sensory_delight__erotic,attr__sensory_delight__haptic,attr__sensory_delight__visual__artefact,attr__sensory_delight__visual__nature,attr__sensory_delight__visual__other
Brugmansia_01,brugmansia,01-10,Brendan,Noah,2164,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Brugmansia_02,brugmansia,01-10,Brendan,Noah,948,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Brugmansia_03,brugmansia,01-10,Brendan,Noah,603,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04,brugmansia,01-10,Brendan,Noah,1653,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Brugmansia_05,brugmansia,01-10,Brendan,Noah,1540,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_06,brugmansia,01-10,Brendan,Noah,759,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Brugmansia_07,brugmansia,01-10,Brendan,Noah,294,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brugmansia_08,brugmansia,01-10,Brendan,Noah,681,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Brugmansia_09,brugmansia,01-10,Brendan,Noah,713,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_10,brugmansia,01-10,Brendan,Noah,762,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
