item_id,parent_id,depth,level_1,level_2,level_3,path,is_leaf,has_children,is_scene_level,is_trip_level
type_of_visual_alteration,,0,Type of visual alteration,,,Type of visual alteration,False,True,True,False
type_of_visual_alteration_illusion,type_of_visual_alteration,1,Type of visual alteration,Illusion,,Type of visual alteration | Illusion,True,False,True,False
type_of_visual_alteration_hallucination_of_an_incrusted_object,type_of_visual_alteration,1,Type of visual alteration,Hallucination of an incrusted object,,Type of visual alteration | Hallucination of an incrusted object,True,False,True,False
type_of_visual_alteration_hallucination_of_a_detached_object,type_of_visual_alteration,1,Type of visual alteration,Hallucination of a detached object,,Type of visual alteration | Hallucination of a detached object,True,False,True,False
type_of_visual_alteration_full_blown_immersive_hallucination,type_of_visual_alteration,1,Type of visual alteration,Full-blown immersive hallucination,,Type of visual alteration | Full-blown immersive hallucination,True,False,True,False
visual_hallucination,,0,Visual hallucination,,,Visual hallucination,False,True,True,False
visual_hallucination_geometrical_pattern,visual_hallucination,1,Visual hallucination,Geometrical pattern,,Visual hallucination | Geometrical pattern,True,False,True,False
visual_hallucination_human,visual_hallucination,1,Visual hallucination,Human,,Visual hallucination | Human,False,True,True,False
visual_hallucination_human_historical_figures,visual_hallucination_human,2,Visual hallucination,Human,Historical figure(s),Visual hallucination | Human | Historical figure(s),True,False,True,False
visual_hallucination_human_celebrityies,visual_hallucination_human,2,Visual hallucination,Human,Celebrity(ies),Visual hallucination | Human | Celebrity(ies),True,False,True,False
visual_hallucination_human_relatives_acquaintances,visual_hallucination_human,2,Visual hallucination,Human,"Relative(s), acquaintance(s)","Visual hallucination | Human | Relative(s), acquaintance(s)",True,False,True,False
visual_hallucination_human_unknown_persons,visual_hallucination_human,2,Visual hallucination,Human,Unknown person(s),Visual hallucination | Human | Unknown person(s),True,False,True,False
visual_hallucination_human_shamans_priests_witches,visual_hallucination_human,2,Visual hallucination,Human,"Shaman(s), priest(s), witch(es)","Visual hallucination | Human | Shaman(s), priest(s), witch(es)",True,False,True,False
visual_hallucination_human_others,visual_hallucination_human,2,Visual hallucination,Human,Other(s),Visual hallucination | Human | Other(s),True,False,True,False
visual_hallucination_artefact,visual_hallucination,1,Visual hallucination,Artefact,,Visual hallucination | Artefact,False,True,True,False
visual_hallucination_artefact_vehicle,visual_hallucination_artefact,2,Visual hallucination,Artefact,Vehicle,Visual hallucination | Artefact | Vehicle,True,False,True,False
visual_hallucination_artefact_city_building_furniture,visual_hallucination_artefact,2,Visual hallucination,Artefact,"City, building, furniture","Visual hallucination | Artefact | City, building, furniture",True,False,True,False
visual_hallucination_artefact_technological_device,visual_hallucination_artefact,2,Visual hallucination,Artefact,Technological device,Visual hallucination | Artefact | Technological device,True,False,True,False
visual_hallucination_artefact_tool_cloth,visual_hallucination_artefact,2,Visual hallucination,Artefact,"Tool, cloth","Visual hallucination | Artefact | Tool, cloth",True,False,True,False
visual_hallucination_artefact_other,visual_hallucination_artefact,2,Visual hallucination,Artefact,Other,Visual hallucination | Artefact | Other,True,False,True,False
visual_hallucination_animal,visual_hallucination,1,Visual hallucination,Animal,,Visual hallucination | Animal,False,True,True,False
visual_hallucination_animal_mammal,visual_hallucination_animal,2,Visual hallucination,Animal,Mammal,Visual hallucination | Animal | Mammal,True,False,True,False
visual_hallucination_animal_aquatic_animal,visual_hallucination_animal,2,Visual hallucination,Animal,Aquatic animal,Visual hallucination | Animal | Aquatic animal,True,False,True,False
visual_hallucination_animal_bird,visual_hallucination_animal,2,Visual hallucination,Animal,Bird,Visual hallucination | Animal | Bird,True,False,True,False
