bin_id,trip_id,bin_span_start,bin_span_end,bin_status,n_scenes_in_bin,n_both_scenes,n_only_A_scenes,n_only_B_scenes,granularity_recovered,chunking_split,member_scene_ids
Brugmansia_01_B001,Brugmansia_01,1775,2210,both,1,1,0,0,False,False,Brugmansia_01_S01_AB
Brugmansia_01_B002,Brugmansia_01,2364,2550,only_B,1,0,0,1,False,False,Brugmansia_01_S02_B
Brugmansia_01_B003,Brugmansia_01,2981,3300,both,1,1,0,0,False,False,Brugmansia_01_S03_AB
Brugmansia_01_B004,Brugmansia_01,4754,4830,both,1,1,0,0,False,False,Brugmansia_01_S04_AB
Brugmansia_01_B005,Brugmansia_01,5406,5620,only_A,1,0,1,0,False,False,Brugmansia_01_S05_A
Brugmansia_01_B006,Brugmansia_01,6840,7000,both,1,1,0,0,False,False,Brugmansia_01_S06_AB
Brugmansia_01_B007,Brugmansia_01,7832,8100,both,1,1,0,0,False,False,Brugmansia_01_S07_AB
Brugmansia_01_B008,Brugmansia_01,9417,9600,both,1,1,0,0,False,False,Brugmansia_01_S08_AB
Brugmansia_02_B009,Brugmansia_02,490,560,only_B,1,0,0,1,False,False,Brugmansia_02_S01_B
Brugmansia_02_B010,Brugmansia_02,829,920,only_B,1,0,0,1,False,False,Brugmansia_02_S02_B
Brugmansia_02_B011,Brugmansia_02,2392,2460,only_A,1,0,1,0,False,False,Brugmansia_02_S03_A
Brugmansia_02_B012,Brugmansia_02,2669,2980,only_A,1,0,1,0,False,False,Brugmansia_02_S04_A
Brugmansia_02_B013,Brugmansia_02,4587,4680,only_A,1,0,1,0,False,False,Brugmansia_02_S05_A
Brugmansia_02_B014,Brugmansia_02,4817,5050,only_B,1,0,0,1,False,False,Brugmansia_02_S06_B
Brugmansia_03_B015,Brugmansia_03,749,900,both,1,1,0,0,False,False,Brugmansia_03_S01_AB
Brugmansia_03_B016,Brugmansia_03,967,1250,both,1,1,0,0,False,False,Brugmansia_03_S02_AB
Brugmansia_03_B017,Brugmansia_03,1408,1500,both,1,1,0,0,False,False,Brugmansia_03_S03_AB
Brugmansia_04_B018,Brugmansia_04,1650,1980,both,1,1,0,0,False,False,Brugmansia_04_S01_AB
Brugmansia_04_B019,Brugmansia_04,1986,2200,both,1,1,0,0,False,False,Brugmansia_04_S02_AB
Brugmansia_04_B020,Brugmansia_04,3342,3700,both,1,1,0,0,False,False,Brugmansia_04_S03_AB
Brugmansia_04_B021,Brugmansia_04,3820,4180,both,1,1,0,0,False,False,Brugmansia_04_S04_AB
Brugmansia_04_B022,Brugmansia_04,4185,4275,only_A,1,0,1,0,False,False,Brugmansia_04_S05_A
Brugmansia_04_B023,Brugmansia_04,4346,4580,only_A,1,0,1,0,False,False,Brugmansia_04_S06_A
Brugmansia_04_B024,Brugmansia_04,5202,5270,only_B,1,0,0,1,False,False,Brugmansia_04_S07_B
Brugmansia_04_B025,Brugmansia_04,6253,6600,both,1,1,0,0,False,False,Brugmansia_04_S08_AB
Brugmansia_04_B026,Brugmansia_04,6677,7200,both,2,2,0,0,False,False,Brugmansia_04_S09_AB;Brugmansia_04_S10_AB
Brugmansia_04_B027,Brugmansia_04,7410,7550,only_A,1,0,1,0,False,False,Brugmansia_04_S11_A
Brugmansia_04_B028,Brugmansia_04,7978,8200,both,1,1,0,0,False,False,Brugmansia_04_S12_AB
Brugmansia_04_B029,Brugmansia_04,8358,8450,both,1,1,0,0,False,False,Brugmansia_04_S13_AB
Brugmansia_04_B030,Brugmansia_04,8485,8760,both,2,2,0,0,False,False,Brugmansia_04_S14_AB;Brugmansia_04_S15_AB
Brugmansia_05_B031,Brugmansia_05,1651,1720,only_A,1,0,1,0,False,False,Brugmansia_05_S01_A
Brugmansia_06_B032,Brugmansia_06,527,570,only_A,1,0,1,0,False,False,Brugmansia_06_S01_A
Brugmansia_06_B033,Brugmansia_06,1374,1480,both,1,1,0,0,False,False,Brugmansia_06_S02_AB
Brugmansia_06_B034,Brugmansia_06,1542,1600,only_B,1,0,0,1,False,False,Brugmansia_06_S03_B
