coder_pair,substance,block,item_id,level_1,level_2,level_3,n_shared_scenes,n_A_coded,n_B_coded,both_yes,A_only,B_only,both_no,observed_agreement,expected_agreement,prevalence,cohens_kappa,kappa_SE,pabak,kappa_label
Brug 01-10: Brendan × Noah,brugmansia,01-10,type_of_visual_alteration_illusion,Type of visual alteration,Illusion,,37,11,6,5,6,1,25,0.8108,0.637,0.2297,0.4789,0.1774,0.6216,moderate
Brug 01-10: Brendan × Noah,brugmansia,01-10,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration,Hallucination of an incrusted object,,37,21,13,8,13,5,11,0.5135,0.4799,0.4595,0.0646,0.158,0.027,slight
Brug 01-10: Brendan × Noah,brugmansia,01-10,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration,Hallucination of a detached object,,37,2,1,0,2,1,34,0.9189,0.9218,0.0405,-0.0374,0.5741,0.8378,worse-than-chance
Brug 01-10: Brendan × Noah,brugmansia,01-10,type_of_visual_alteration_full_blown_immersive_hallucination,Type of visual alteration,Full-blown immersive hallucination,,37,0,2,0,0,2,35,0.9459,0.9459,0.027,0.0,0.6877,0.8919,slight
Brug 01-10: Brendan × Noah,brugmansia,01-10,visual_hallucination_geometrical_pattern,Visual hallucination,Geometrical pattern,,37,1,3,1,0,2,34,0.9459,0.8963,0.0541,0.4789,0.3584,0.8919,moderate
Brug 01-10: Brendan × Noah,brugmansia,01-10,visual_hallucination_human_historical_figures,Visual hallucination,Human,Historical figure(s),37,0,1,0,0,1,36,0.973,0.973,0.0135,0.0,0.9864,0.9459,slight
Brug 01-10: Brendan × Noah,brugmansia,01-10,visual_hallucination_human_celebrityies,Visual hallucination,Human,Celebrity(ies),37,1,0,0,1,0,36,0.973,0.973,0.0135,0.0,0.9864,0.9459,slight
Brug 01-10: Brendan × Noah,brugmansia,01-10,visual_hallucination_human_relatives_acquaintances,Visual hallucination,Human,"Relative(s), acquaintance(s)",37,2,3,2,0,1,34,0.973,0.8736,0.0676,0.7861,0.211,0.9459,substantial
Brug 01-10: Brendan × Noah,brugmansia,01-10,visual_hallucination_human_unknown_persons,Visual hallucination,Human,Unknown person(s),37,7,6,6,1,0,30,0.973,0.71,0.1757,0.9068,0.0919,0.9459,almost-perfect
Brug 01-10: Brendan × Noah,brugmansia,01-10,visual_hallucination_human_others,Visual hallucination,Human,Other(s),37,1,0,0,1,0,36,0.973,0.973,0.0135,0.0,0.9864,0.9459,slight
Brug 01-10: Brendan × Noah,brugmansia,01-10,visual_hallucination_artefact_tool_cloth,Visual hallucination,Artefact,"Tool, cloth",37,4,0,0,4,0,33,0.8919,0.8919,0.0541,0.0,0.4722,0.7838,slight
Brug 01-10: Brendan × Noah,brugmansia,01-10,visual_hallucination_artefact_other,Visual hallucination,Artefact,Other,37,1,0,0,1,0,36,0.973,0.973,0.0135,0.0,0.9864,0.9459,slight
Brug 01-10: Brendan × Noah,brugmansia,01-10,visual_hallucination_animal_mammal,Visual hallucination,Animal,Mammal,37,0,1,0,0,1,36,0.973,0.973,0.0135,0.0,0.9864,0.9459,slight
Brug 01-10: Brendan × Noah,brugmansia,01-10,visual_hallucination_animal_insect,Visual hallucination,Animal,Insect,37,4,5,4,0,1,32,0.973,0.786,0.1216,0.8737,0.1246,0.9459,almost-perfect
