scene_id,trip_id,substance,coder_pair,n_A_tags,n_B_tags,n_shared_tags,n_union_tags,jaccard
Brugmansia_01_S01_AB,Brugmansia_01,brugmansia,Brug 01-10: Brendan × Noah,1,2,1,2,0.5
Brugmansia_01_S03_AB,Brugmansia_01,brugmansia,Brug 01-10: Brendan × Noah,3,1,0,4,0.0
Brugmansia_01_S04_AB,Brugmansia_01,brugmansia,Brug 01-10: Brendan × Noah,1,1,0,2,0.0
Brugmansia_01_S06_AB,Brugmansia_01,brugmansia,Brug 01-10: Brendan × Noah,1,1,0,2,0.0
Brugmansia_01_S07_AB,Brugmansia_01,brugmansia,Brug 01-10: Brendan × Noah,3,2,2,3,0.6667
Brugmansia_01_S08_AB,Brugmansia_01,brugmansia,Brug 01-10: Brendan × Noah,3,2,1,4,0.25
Brugmansia_03_S01_AB,Brugmansia_03,brugmansia,Brug 01-10: Brendan × Noah,3,1,1,3,0.3333
Brugmansia_03_S02_AB,Brugmansia_03,brugmansia,Brug 01-10: Brendan × Noah,3,1,0,4,0.0
Brugmansia_03_S03_AB,Brugmansia_03,brugmansia,Brug 01-10: Brendan × Noah,3,1,1,3,0.3333
Brugmansia_04_S01_AB,Brugmansia_04,brugmansia,Brug 01-10: Brendan × Noah,3,1,0,4,0.0
Brugmansia_04_S02_AB,Brugmansia_04,brugmansia,Brug 01-10: Brendan × Noah,1,1,0,2,0.0
Brugmansia_04_S03_AB,Brugmansia_04,brugmansia,Brug 01-10: Brendan × Noah,1,1,0,2,0.0
Brugmansia_04_S04_AB,Brugmansia_04,brugmansia,Brug 01-10: Brendan × Noah,1,2,0,3,0.0
Brugmansia_04_S08_AB,Brugmansia_04,brugmansia,Brug 01-10: Brendan × Noah,3,1,1,3,0.3333
Brugmansia_04_S09_AB,Brugmansia_04,brugmansia,Brug 01-10: Brendan × Noah,2,1,1,2,0.5
Brugmansia_04_S10_AB,Brugmansia_04,brugmansia,Brug 01-10: Brendan × Noah,3,1,0,4,0.0
Brugmansia_04_S12_AB,Brugmansia_04,brugmansia,Brug 01-10: Brendan × Noah,3,1,1,3,0.3333
Brugmansia_04_S13_AB,Brugmansia_04,brugmansia,Brug 01-10: Brendan × Noah,2,1,0,3,0.0
Brugmansia_04_S14_AB,Brugmansia_04,brugmansia,Brug 01-10: Brendan × Noah,3,1,1,3,0.3333
Brugmansia_04_S15_AB,Brugmansia_04,brugmansia,Brug 01-10: Brendan × Noah,1,1,1,1,1.0
Brugmansia_06_S02_AB,Brugmansia_06,brugmansia,Brug 01-10: Brendan × Noah,1,1,1,1,1.0
Brugmansia_07_S01_AB,Brugmansia_07,brugmansia,Brug 01-10: Brendan × Noah,1,1,1,1,1.0
Brugmansia_07_S03_AB,Brugmansia_07,brugmansia,Brug 01-10: Brendan × Noah,3,3,2,4,0.5
Brugmansia_08_S02_AB,Brugmansia_08,brugmansia,Brug 01-10: Brendan × Noah,3,1,1,3,0.3333
Brugmansia_08_S03_AB,Brugmansia_08,brugmansia,Brug 01-10: Brendan × Noah,3,1,1,3,0.3333
Brugmansia_08_S04_AB,Brugmansia_08,brugmansia,Brug 01-10: Brendan × Noah,3,2,2,3,0.6667
Brugmansia_08_S05_AB,Brugmansia_08,brugmansia,Brug 01-10: Brendan × Noah,2,1,0,3,0.0
Brugmansia_08_S06_AB,Brugmansia_08,brugmansia,Brug 01-10: Brendan × Noah,3,1,1,3,0.3333
Brugmansia_08_S07_AB,Brugmansia_08,brugmansia,Brug 01-10: Brendan × Noah,3,1,1,3,0.3333
Brugmansia_08_S08_AB,Brugmansia_08,brugmansia,Brug 01-10: Brendan × Noah,3,1,1,3,0.3333
Brugmansia_09_S01_AB,Brugmansia_09,brugmansia,Brug 01-10: Brendan × Noah,1,1,1,1,1.0
