scene_id,trip_id,rater_status,bin_id
Brugmansia_01_S01_AB,Brugmansia_01,both,Brugmansia_01_B001
Brugmansia_01_S02_B_RCL,Brugmansia_01,only_B,Brugmansia_01_B002
Brugmansia_01_S03_AB,Brugmansia_01,both,Brugmansia_01_B003
Brugmansia_01_S04_AB,Brugmansia_01,both,Brugmansia_01_B004
Brugmansia_01_S05_A_RCL,Brugmansia_01,only_A,Brugmansia_01_B005
Brugmansia_01_S06_AB,Brugmansia_01,both,Brugmansia_01_B006
Brugmansia_01_S07_AB,Brugmansia_01,both,Brugmansia_01_B007
Brugmansia_01_S08_AB,Brugmansia_01,both,Brugmansia_01_B008
Brugmansia_02_S01_B_RCL,Brugmansia_02,only_B,Brugmansia_02_B009
Brugmansia_02_S02_B_RCL,Brugmansia_02,only_B,Brugmansia_02_B010
Brugmansia_02_S03_A_RCL,Brugmansia_02,only_A,Brugmansia_02_B011
Brugmansia_02_S04_A_RCL,Brugmansia_02,only_A,Brugmansia_02_B012
Brugmansia_02_S05_A_RCL,Brugmansia_02,only_A,Brugmansia_02_B013
Brugmansia_02_S06_B_RCL,Brugmansia_02,only_B,Brugmansia_02_B014
Brugmansia_03_S01_AB,Brugmansia_03,both,Brugmansia_03_B015
Brugmansia_03_S02_AB,Brugmansia_03,both,Brugmansia_03_B016
Brugmansia_03_S03_AB,Brugmansia_03,both,Brugmansia_03_B017
Brugmansia_04_S01_AB,Brugmansia_04,both,Brugmansia_04_B018
Brugmansia_04_S02_AB,Brugmansia_04,both,Brugmansia_04_B019
Brugmansia_04_S03_AB,Brugmansia_04,both,Brugmansia_04_B020
Brugmansia_04_S04_AB,Brugmansia_04,both,Brugmansia_04_B021
Brugmansia_04_S05_A_RCL,Brugmansia_04,only_A,Brugmansia_04_B022
Brugmansia_04_S06_A_RCL,Brugmansia_04,only_A,Brugmansia_04_B023
Brugmansia_04_S07_B_RCL,Brugmansia_04,only_B,Brugmansia_04_B024
Brugmansia_04_S08_AB,Brugmansia_04,both,Brugmansia_04_B025
Brugmansia_04_S09_AB,Brugmansia_04,both,Brugmansia_04_B026
Brugmansia_04_S10_AB,Brugmansia_04,both,Brugmansia_04_B026
Brugmansia_04_S11_A_RCL,Brugmansia_04,only_A,Brugmansia_04_B027
Brugmansia_04_S12_AB,Brugmansia_04,both,Brugmansia_04_B028
Brugmansia_04_S13_AB,Brugmansia_04,both,Brugmansia_04_B029
Brugmansia_04_S14_AB,Brugmansia_04,both,Brugmansia_04_B030
Brugmansia_04_S15_AB,Brugmansia_04,both,Brugmansia_04_B030
Brugmansia_05_S01_A_RCL,Brugmansia_05,only_A,Brugmansia_05_B031
Brugmansia_06_S01_A_AMP,Brugmansia_06,only_A,Brugmansia_06_B032
Brugmansia_06_S02_AB,Brugmansia_06,both,Brugmansia_06_B033
Brugmansia_06_S03_B_RCL,Brugmansia_06,only_B,Brugmansia_06_B034
Brugmansia_06_S04_A_RCL,Brugmansia_06,only_A,Brugmansia_06_B035
Brugmansia_06_S05_A_RCL,Brugmansia_06,only_A,Brugmansia_06_B036
Brugmansia_06_S06_B_RCL,Brugmansia_06,only_B,Brugmansia_06_B037
Brugmansia_06_S07_B_RCL,Brugmansia_06,only_B,Brugmansia_06_B038
Brugmansia_07_S01_AB,Brugmansia_07,both,Brugmansia_07_B039
Brugmansia_07_S02_A_RCL,Brugmansia_07,only_A,Brugmansia_07_B040
Brugmansia_07_S03_AB,Brugmansia_07,both,Brugmansia_07_B041
Brugmansia_08_S01_A_RCL,Brugmansia_08,only_A,Brugmansia_08_B042
Brugmansia_08_S02_AB,Brugmansia_08,both,Brugmansia_08_B043
Brugmansia_08_S03_AB,Brugmansia_08,both,Brugmansia_08_B044
Brugmansia_08_S04_AB,Brugmansia_08,both,Brugmansia_08_B045
Brugmansia_08_S05_AB,Brugmansia_08,both,Brugmansia_08_B046
Brugmansia_08_S06_AB,Brugmansia_08,both,Brugmansia_08_B047
Brugmansia_08_S07_AB,Brugmansia_08,both,Brugmansia_08_B048
Brugmansia_08_S08_AB,Brugmansia_08,both,Brugmansia_08_B048
Brugmansia_09_S01_AB,Brugmansia_09,both,Brugmansia_09_B049
Brugmansia_09_S02_AB,Brugmansia_09,both,Brugmansia_09_B050
Brugmansia_09_S03_A_RCL,Brugmansia_09,only_A,Brugmansia_09_B051
Brugmansia_09_S04_AB,Brugmansia_09,both,Brugmansia_09_B052
Brugmansia_09_S05_AB,Brugmansia_09,both,Brugmansia_09_B052
Brugmansia_10_S01_A_RCL,Brugmansia_10,only_A,Brugmansia_10_B053
Brugmansia_10_S02_AB,Brugmansia_10,both,Brugmansia_10_B054
Brugmansia_10_S03_AB,Brugmansia_10,both,Brugmansia_10_B055
Brugmansia_10_S04_AB,Brugmansia_10,both,Brugmansia_10_B056
Brugmansia_11_S01_AB,Brugmansia_11,both,Brugmansia_11_B057
Brugmansia_11_S02_AB,Brugmansia_11,both,Brugmansia_11_B057
Brugmansia_11_S03_AB,Brugmansia_11,both,Brugmansia_11_B058
Brugmansia_11_S04_AB,Brugmansia_11,both,Brugmansia_11_B059
Brugmansia_12_S01_AB,Brugmansia_12,both,Brugmansia_12_B060
Brugmansia_12_S02_AB,Brugmansia_12,both,Brugmansia_12_B061
Brugmansia_12_S03_AB,Brugmansia_12,both,Brugmansia_12_B062
Brugmansia_12_S04_AB,Brugmansia_12,both,Brugmansia_12_B063
Brugmansia_12_S05_AB,Brugmansia_12,both,Brugmansia_12_B063
Brugmansia_12_S06_AB,Brugmansia_12,both,Brugmansia_12_B064
Brugmansia_12_S07_B_RCL,Brugmansia_12,only_B,Brugmansia_12_B065
Brugmansia_12_S08_AB_LUMPA,Brugmansia_12,both,Brugmansia_12_B066
Brugmansia_12_S08.1_AB_SPLITB,Brugmansia_12,both,Brugmansia_12_B066
Brugmansia_12_S08.2_AB_SPLITB,Brugmansia_12,both,Brugmansia_12_B066
Brugmansia_13_S01_AB,Brugmansia_13,both,Brugmansia_13_B067
Brugmansia_13_S02_A_RCL,Brugmansia_13,only_A,Brugmansia_13_B068
Brugmansia_13_S03_AB,Brugmansia_13,both,Brugmansia_13_B069
Brugmansia_13_S04_B_RCL,Brugmansia_13,only_B,Brugmansia_13_B070
Brugmansia_13_S05_AB,Brugmansia_13,both,Brugmansia_13_B071
Brugmansia_13_S06_AB,Brugmansia_13,both,Brugmansia_13_B072
Brugmansia_13_S07_AB,Brugmansia_13,both,Brugmansia_13_B073
Brugmansia_13_S08_AB,Brugmansia_13,both,Brugmansia_13_B074
Brugmansia_13_S09_AB,Brugmansia_13,both,Brugmansia_13_B075
Brugmansia_13_S10_AB,Brugmansia_13,both,Brugmansia_13_B076
Brugmansia_14_S01_A_RCL,Brugmansia_14,only_A,Brugmansia_14_B077
Brugmansia_14_S02_AB,Brugmansia_14,both,Brugmansia_14_B078
Brugmansia_14_S03_AB,Brugmansia_14,both,Brugmansia_14_B078
Brugmansia_14_S04_AB,Brugmansia_14,both,Brugmansia_14_B079
Brugmansia_14_S05_AB,Brugmansia_14,both,Brugmansia_14_B080
Brugmansia_14_S06_AB,Brugmansia_14,both,Brugmansia_14_B080
Brugmansia_15_S01_A_RCL,Brugmansia_15,only_A,Brugmansia_15_B081
Brugmansia_15_S02_AB,Brugmansia_15,both,Brugmansia_15_B082
Brugmansia_16_S01_AB,Brugmansia_16,both,Brugmansia_16_B083
Brugmansia_17_S01_A_RCL,Brugmansia_17,only_A,Brugmansia_17_B084
Brugmansia_18_S01_AB,Brugmansia_18,both,Brugmansia_18_B085
Brugmansia_18_S02_AB,Brugmansia_18,both,Brugmansia_18_B086
Brugmansia_18_S03_AB,Brugmansia_18,both,Brugmansia_18_B087
Brugmansia_18_S04_A_RCL,Brugmansia_18,only_A,Brugmansia_18_B088
Brugmansia_18_S05_B_RCL,Brugmansia_18,only_B,Brugmansia_18_B089
Brugmansia_18_S06_B_RCL,Brugmansia_18,only_B,Brugmansia_18_B090
Brugmansia_19_S01_AB,Brugmansia_19,both,Brugmansia_19_B091
Brugmansia_19_S02_AB,Brugmansia_19,both,Brugmansia_19_B092
Brugmansia_20_S01_B_RCL,Brugmansia_20,only_B,Brugmansia_20_B093
Brugmansia_20_S02_A_RCL,Brugmansia_20,only_A,Brugmansia_20_B094
Brugmansia_20_S03_AB,Brugmansia_20,both,Brugmansia_20_B095
Brugmansia_20_S04_B_RCL,Brugmansia_20,only_B,Brugmansia_20_B096
Brugmansia_20_S05_AB,Brugmansia_20,both,Brugmansia_20_B097
Brugmansia_20_S06_A_RCL,Brugmansia_20,only_A,Brugmansia_20_B098
Brugmansia_20_S07_AB,Brugmansia_20,both,Brugmansia_20_B099
Brugmansia_20_S08_AB,Brugmansia_20,both,Brugmansia_20_B100
Brugmansia_20_S09_AB,Brugmansia_20,both,Brugmansia_20_B101
Brugmansia_20_S10_A_RCL,Brugmansia_20,only_A,Brugmansia_20_B102
Psilocybe_01_S01_AB,Psilocybe_01,both,Psilocybe_01_B103
Psilocybe_01_S02_AB,Psilocybe_01,both,Psilocybe_01_B104
Psilocybe_01_S03_A_RCL,Psilocybe_01,only_A,Psilocybe_01_B105
Psilocybe_01_S04_AB,Psilocybe_01,both,Psilocybe_01_B106
Psilocybe_01_S05_AB,Psilocybe_01,both,Psilocybe_01_B106
Psilocybe_01_S06_A_RCL,Psilocybe_01,only_A,Psilocybe_01_B107
Psilocybe_01_S07_A_RCL,Psilocybe_01,only_A,Psilocybe_01_B108
Psilocybe_01_S08_AB,Psilocybe_01,both,Psilocybe_01_B109
Psilocybe_01_S09_A_RCL,Psilocybe_01,only_A,Psilocybe_01_B110
Psilocybe_02_S01_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B111
Psilocybe_02_S02_AB,Psilocybe_02,both,Psilocybe_02_B112
Psilocybe_02_S03_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B113
Psilocybe_02_S04_AB,Psilocybe_02,both,Psilocybe_02_B114
Psilocybe_02_S05_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B115
Psilocybe_02_S06_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B115
Psilocybe_02_S07_AB,Psilocybe_02,both,Psilocybe_02_B116
Psilocybe_02_S08_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B117
Psilocybe_02_S09_AB,Psilocybe_02,both,Psilocybe_02_B118
Psilocybe_02_S10_AB,Psilocybe_02,both,Psilocybe_02_B119
Psilocybe_02_S11_AB,Psilocybe_02,both,Psilocybe_02_B120
Psilocybe_02_S12_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B121
Psilocybe_02_S13_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B122
Psilocybe_02_S14_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B123
Psilocybe_02_S15_AB,Psilocybe_02,both,Psilocybe_02_B124
Psilocybe_02_S16_AB,Psilocybe_02,both,Psilocybe_02_B125
Psilocybe_02_S17_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B126
Psilocybe_02_S18_AB,Psilocybe_02,both,Psilocybe_02_B127
Psilocybe_02_S19_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B128
