code_id,scene_id,trip_id,rater,coder_name,item_id,item_path,level_1,level_2,level_3,is_scene_level,excerpt
C000001,Brugmansia_01_S01_AB,Brugmansia_01,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000002,Brugmansia_01_S01_AB,Brugmansia_01,B,Noah,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000003,Brugmansia_01_S01_AB,Brugmansia_01,B,Noah,type_of_visual_alteration_full-blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,True,
C000004,Brugmansia_01_S02_B,Brugmansia_01,B,Noah,nonsensory_hallucination_other,Nonsensory hallucination | Other,Nonsensory hallucination,Other,,True,
C000005,Brugmansia_01_S03_AB,Brugmansia_01,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000006,Brugmansia_01_S03_AB,Brugmansia_01,A,Brendan,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),True,
C000007,Brugmansia_01_S03_AB,Brugmansia_01,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000008,Brugmansia_01_S03_AB,Brugmansia_01,A,Brendan,insight_religious,Insight | Religious,Insight,Religious,,True,
C000009,Brugmansia_01_S03_AB,Brugmansia_01,B,Noah,type_of_visual_alteration_full-blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,True,
C000010,Brugmansia_01_S04_AB,Brugmansia_01,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000011,Brugmansia_01_S04_AB,Brugmansia_01,B,Noah,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,True,
C000012,Brugmansia_01_S05_A,Brugmansia_01,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000013,Brugmansia_01_S06_AB,Brugmansia_01,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000014,Brugmansia_01_S06_AB,Brugmansia_01,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000015,Brugmansia_01_S07_AB,Brugmansia_01,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000016,Brugmansia_01_S07_AB,Brugmansia_01,A,Brendan,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,
C000017,Brugmansia_01_S07_AB,Brugmansia_01,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000018,Brugmansia_01_S07_AB,Brugmansia_01,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000019,Brugmansia_01_S07_AB,Brugmansia_01,B,Noah,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,
C000020,Brugmansia_01_S08_AB,Brugmansia_01,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000021,Brugmansia_01_S08_AB,Brugmansia_01,A,Brendan,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,
C000022,Brugmansia_01_S08_AB,Brugmansia_01,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
